,Unnamed: 0,activation,dataset_size,width,test_accuracy,test_mse,training_accuracy
0,0,tanh,75,,0.6363636363636364,3.963659220369432,
1,1,tanh,150,,0.974025974025974,0.0317869528919589,
2,2,tanh,250,,1.0,0.0204139407072225,
3,3,tanh,436,,0.987012987012987,0.0153294127467553,
4,4,relu,75,,0.974025974025974,0.0545964004929122,
5,5,relu,150,,0.987012987012987,0.0204321238612288,
6,6,relu,250,,1.0,0.0144607122476088,
7,7,relu,436,,1.0,0.0124858202158914,
