,Unnamed: 0,activation,dataset_size,width,test_accuracy,test_mse,training_accuracy
0,0,tanh,75,,0.987012987012987,0.0463995564432552,
1,1,tanh,150,,0.987012987012987,0.0303582741385127,
2,2,tanh,250,,1.0,0.019258077088231,
3,3,tanh,436,,1.0,0.0158645461339573,
4,4,relu,75,,0.948051948051948,0.0452571962580887,
5,5,relu,150,,0.987012987012987,0.0160324993124126,
6,6,relu,250,,1.0,0.0147803686456852,
7,7,relu,436,,1.0,0.0113951959010842,
