3.6069,3.6851,4.0053,3.7634,4.9609,3.8835,3.757,4.4054,4.3356,4.3637,3.3085,3.3306,4.2822,3.939,3.9934,3.9878,1
3.9626,3.7752,4.091,3.9823,4.9373,4.3012,4.4333,4.3287,3.7692,4.4248,3.5299,3.9206,4.4571,4.6219,3.7339,4.3556,1
3.0628,3.3613,3.93,3.6251,4.7108,3.8409,3.6001,4.4106,3.6881,4.0353,3.13,3.3524,4.2663,3.7216,3.5722,3.9584,1
3.4692,3.7413,3.6409,3.7391,4.7144,3.6685,3.9318,4.1487,3.9283,3.905,3.2782,3.1476,4.168,3.76,3.8711,3.8787,1
3.4184,3.6418,3.8712,3.6635,4.3683,4.0372,3.7994,4.2304,3.9985,4.024,3.4112,3.5368,4.1485,4.198,3.8208,4.0583,1
3.6663,4.1961,4.1156,3.8177,4.7392,4.0127,4.0685,4.4323,3.8079,3.9986,3.9204,3.725,4.6319,4.9365,4.0302,4.0401,1
3.7605,4.2124,3.9799,3.7109,4.6608,3.5369,4.0127,4.0125,3.7757,4.4299,3.1813,3.4521,4.0413,4.212,3.5335,4.0201,1
3.47,3.636,3.5677,3.899,4.3412,3.7752,4.0556,4.3366,4.314,4.2502,3.4041,3.6458,3.8047,3.8967,3.8518,4.3562,1
3.6131,3.6843,3.7804,3.8484,4.6288,4.1097,3.0795,4.0381,3.8203,4.017,3.0643,3.3288,4.3035,4.086,3.829,3.8987,1
3.6024,3.4968,3.8845,3.8087,4.8145,3.5923,4.3763,4.4666,4.1701,4.2574,3.368,3.3542,3.9779,3.8843,3.8984,4.0214,1
3.7571,3.9366,3.7359,4.0073,4.6883,3.4362,4.6726,3.9795,4.0459,4.0185,3.5605,3.5502,4.2179,4.5597,3.878,3.8466,1
3.3285,3.5193,3.1211,3.5418,3.5809,3.3388,3.1326,3.8981,4.2454,4.0409,3.3117,3.126,3.4021,3.986,3.7401,3.4482,1
3.5314,3.6757,3.2218,3.9228,3.6345,3.6241,3.8686,3.9592,3.817,4.0508,3.3397,3.3094,3.555,3.7149,3.6426,3.8892,1
3.5764,3.459,3.3838,3.2786,4.2968,3.0606,3.9514,3.6543,3.8255,3.8264,2.9885,3.1826,3.6499,3.8315,3.6081,3.9038,1
3.4143,3.5214,3.531,3.2175,4.0767,3.1641,3.331,3.6502,3.9444,4.0373,3.1895,3.2286,3.8211,3.4688,3.8883,3.8123,1
4.0742,4.2165,4.7447,3.8747,5.0249,3.8137,4.05,4.7789,4.264,4.4559,3.6323,4.0702,4.5776,4.5458,4.325,4.4505,1
4.1554,4.2887,4.6014,4.0558,5.1226,3.8557,3.9136,4.301,4.0214,4.1902,3.6983,3.7398,4.7755,4.3541,4.1829,4.1875,1
3.7459,4.2731,4.5377,3.9748,5.0905,4.1413,4.1806,4.5153,4.3315,4.4695,3.4593,4.2989,4.9373,4.8864,4.2029,4.134,1
3.8438,4.0134,4.1036,3.8233,5.0374,3.5908,4.6923,4.1862,4.2327,4.4587,3.4088,3.723,4.4567,4.5256,3.9876,4.0751,1
3.4695,3.3191,3.7659,3.6732,4.3888,3.782,4.1791,4.1225,3.9666,4.2145,3.5164,3.2261,3.9626,4.0388,3.718,3.9876,1
4.0381,3.7565,3.8182,3.8459,4.6435,3.7525,4.154,4.2213,4.2307,4.5211,3.5374,3.7688,4.5253,4.4289,3.6927,4.1567,1
3.5688,3.9067,3.5759,3.7463,4.3997,3.5973,3.5617,4.253,4.0415,4.2675,3.5414,3.5157,4.2302,4.0329,3.8428,3.601,1
3.5013,3.6927,3.8131,3.8951,4.1732,3.8782,3.523,4.2255,3.7349,3.8777,3.1516,3.2852,4.0367,3.8423,3.854,3.869,1
3.7154,3.5662,3.9911,3.921,4.5291,4.2166,4.4896,4.0207,4.1889,4.2578,3.5457,3.4346,4.3609,3.407,4.0859,4.1924,1
3.536,4.0381,3.9566,4.2792,4.2883,4.0194,3.927,4.0297,4.3025,4.5119,3.4381,3.5853,4.6075,4.3504,4.6007,3.9266,1
3.7127,3.8288,4.1587,4.1119,3.8153,3.8275,3.1312,4.2624,3.8876,3.9667,3.7758,3.5311,4.5946,4.8009,3.9532,2.9236,0
3.886,3.5465,3.8301,4.3259,4.1266,4.0147,3.7777,4.4788,3.945,3.9565,3.3033,3.5093,4.3597,4.2657,4.0327,2.3752,0
3.9321,4.0406,3.8433,4.0819,3.9662,3.9826,3.7129,4.529,3.7572,3.849,3.8717,3.5744,4.3351,4.6827,3.7531,3.107,0
4.1161,3.7951,4.0074,4.4132,4.1894,4.248,3.3908,4.6929,4.0179,3.9347,3.3252,3.8646,4.6608,4.8078,3.9473,2.6862,0
