,activation,dataset_size,width,test_accuracy,test_mse,training_accuracy
0,tanh,75,,0.6363636363636364,3.963659220369432,
1,tanh,150,,0.974025974025974,0.0317869528919589,
2,tanh,250,,1.0,0.020413940707222557,
3,tanh,436,,0.987012987012987,0.015329412746755375,
4,relu,75,,0.974025974025974,0.05459640049291223,
5,relu,150,,0.987012987012987,0.020432123861228883,
6,relu,250,,1.0,0.014460712247608821,
7,relu,436,,1.0,0.01248582021589143,
