,activation,dataset_size,width,test_accuracy,test_mse,training_accuracy
0,tanh,20,,0.501,0.07005949666357128,
1,tanh,100,,0.63,0.057286002383092664,
2,tanh,250,,0.767,0.04296220301971251,
3,tanh,500,,0.854,0.03230434853098783,
4,tanh,1000,,0.893,0.025937891987887297,
5,relu,20,,0.501,0.07005949666357128,
6,relu,100,,0.63,0.057286002383092664,
7,relu,250,,0.767,0.04296220301971251,
8,relu,500,,0.854,0.03230434853098783,
9,relu,1000,,0.893,0.025937891987887297,
