,activation,dataset_size,width,test_accuracy,test_mse,training_accuracy
0,tanh,20,,0.502,0.07008295636868342,
1,tanh,100,,0.63,0.05732331168847625,
2,tanh,250,,0.767,0.042955655931643376,
3,tanh,500,,0.854,0.03227122834944065,
4,tanh,1000,,0.893,0.025899371420532242,
5,relu,20,,0.502,0.07008295636868342,
6,relu,100,,0.63,0.05732331168847625,
7,relu,250,,0.767,0.042955655931643376,
8,relu,500,,0.854,0.03227122834944065,
9,relu,1000,,0.893,0.025899371420532242,
